Product Name,Display Name,Stockcode,Barcode,Medium Image File,Cup Measure,Price,Cup Price,Cup String,Has Cup Price,Package Size,Sap Department Name,Sap Category Name,Sap Sub Category Name,Sap Segment Name,Department,Aisle,Description,Vegetarian,Wool Dietary Claim,Allergen Contains,Allergy Statement,Ingredients
Woolworths White Hi Fibre Low Gi Loaf,Woolworths White Hi Fibre Low Gi Loaf 680g,118609,0281203000008,https://cdn0.woolworths.media/content/wowproductimages/medium/118609.jpg,100G,3.7,0.54,$0.54 / 100G,TRUE,680G,BAKEHOUSE,INSTORE BAKERY,ISB TINNED LOAF,HI FIBRE LOAVES,bakery,white & wholemeal bread,,False,,Gluten,Fish Free,"<p>Wheat Flour, Water, Modified Wheat Starch (1413), Wheat Gluten, Yeast, Vegetable Oils (Canola, Palm) ,Fermented Wheat Flour, Iodised Salt, Yellow Pea Flour, Thickener (412), Vitamins(Thiamin, Folate). GI (Glycaemic Index) Value: 53</p>"
Mini Chocolate Croissant,Mini Chocolate Croissant 8 Pack,517746,0284909000006,https://cdn0.woolworths.media/content/wowproductimages/medium/517746.jpg,1EA,4,0.5,$0.50 / 1EA,TRUE,8 Pack,BAKEHOUSE,INSTORE BAKERY,INSTORE MANUF CAKE/PASTRY,CROISSANT,bakery,in-store bakery,<p></p>,False,,"Egg, Gluten, Milk, Soybeans",Fish Free,"<p>Wheat Flour (Vitamins (Thiamin, Folate)), Butter (Cream (Milk)), Dark Compound Chocolate (Minimum 13%) (Sugar, Hydrogenated Palm Kernel Oil, Cocoa Powder, Vegetable Emulsifiers (322 from Soy, 476), Natural Flavouring), Water, Yeast, Sugar, Wheat Gluten, Egg, Salt, Vegetable Oil (Canola Oil), Soy Flour, Natural Ferment Flavour (Wheat, Barley), Emulsifier (472e) (Palm), Acidity Regulators (296, 262), Thickeners (412, 415), Natural Colour (160a), Antioxidant (300), Enzyme (Wheat). </p>"
Mr Kipling Lemon Slice,Mr Kipling Lemon Slice 6 Pack,607942,5000221505709,https://cdn0.woolworths.media/content/wowproductimages/medium/607942.jpg,1EA,5,0.83,$0.83 / 1EA,TRUE,6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,CAKES TO GO/LUNCH BOX,bakery,baked snacks & sweets,Light lemon sponge slices with a zesty lemon flavoured filling.,False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Wheat, Milk, Gluten",No Artificial Colours or Flavours,"Sugar, Wheat Flour, Vegetable Oils, Water, Glucose Syrup, Humectant (Vegetable Glycerin), Dextrose, Dried Egg White, Whey Powder, Maize Starch, Raising Agents (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Vegetable Fat, Tapioca Starch, Emulsifiers (Mono- and Diglycerides of Fatty Acids, Polyglycerol Esters of Fatty Acids, Soy Lecithin, Sorbitan Monostearate, Polysorbate 60), Concentrated Lemon Juice (contains Preservatives (Sodium Metabisulphite (Sulphites))), Salt, Flavouring, Stabiliser (Xanthan Gum), Preservative (Potassium Sorbate), Acids (Citric Acid, Acetic Acid), Milk Protein, Gelling Agent (Sodium Alginate), Colours (Titanium Dioxide, Lutein)"
Brioche Gourmet Brioche Burger Buns With Seasame Seeds,Brioche Gourmet Brioche Burger Buns With Seasame Seeds 4 Pack,125793,3587220003426,https://cdn0.woolworths.media/content/wowproductimages/medium/125793.jpg,1EA,6.5,1.63,$1.63 / 1EA,TRUE,4 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,BRIOCHE,bakery,baked snacks & sweets,"Bring home a packet of our new Brioche Gourmet Brioche Burger Buns with Sesame Seeds and take your home-made burger creations to the next level!

Our amazingly light and soft Brioche dough will give your burgers the gourmet style and taste you've been looking for. They come pre-sliced and ready to fill.

Reinvent the classic burger with meat or veggie burgers. Dare to be creative and try a sweet burger with fancy fillings.

About Us

Our love of brioche began in 1945 in a French boulangerie, where our family began creating delicious artisanal brioche. Nestled in the countryside of western France, we passed down our family recipes, mastering the perfect brioche: a soft, fluffy, slightly sweet bread that brings joy with every bite.

For four generations, we’ve been baking wholesome brioche breads in France and today, we are delighted to bring our classic French bread to households across Australia. Our original family recipes remain true, and so does our passion for our craft, which inspires every brioche we bake today.",False,,,,
Golden Pancakes,Golden Pancakes 6 Pack 360g,33140,9310043003519,https://cdn0.woolworths.media/content/wowproductimages/medium/033140.jpg,100G,5.5,1.53,$1.53 / 100G,TRUE,6 Pack 360G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,PANCAKES AND PIKELETS,bakery,baked snacks & sweets,"Golden Pancakes 6 pack<br><br>Scrumptious, fluffy and easy to serve. Never a boring bite!<br><br> Golden Pancakes are delicious for breakfast, dessert, or a snack any time. Just heat them up and add your favourite topping. You could pile on juicy berries with a dollop of ice cream, drizzle with maple syrup, or create your own melt-in-your-mouth combo. <br><br>Look out for these other delicious Golden products: Golden Crumpets, Golden Crumpet Squares, and Golden Pikelets - Perfect for lunchboxes!<br><br>No artificial Colours or Flavours<br>Freezer friendly<br><br>This product varies by state. Please review the product packaging for specific details when you receive this product, including nutritional information and country of origin, before consuming. <br>",False,;No Added Artificial Colour;,"Milk, Egg, Gluten, Wheat",No Artificial Colours or Flavours,"Wheat Flour, Water, Sugar, Canola Oil, Non-Fat Milk Solids, Acidity Regulator (575), Whole Egg Powder, Wheat Starch, Raising Agent(500), Salt, Preservatives (202,234), Emulsifier (471), Natural Vanilla Flavour, Vitamins (Thiamin, Folic Acid)."
Woolworths Chocolate Iced Donuts,Woolworths Chocolate Iced Donuts 4 Pack,40283,9339687096312,https://cdn0.woolworths.media/content/wowproductimages/medium/040283.jpg,1EA,4.75,1.19,$1.19 / 1EA,TRUE,4 Pack,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,SC RESALE DONUTS,bakery,baked snacks & sweets,,False,"Free From Artificial Colour, Free From Artificial Flavour","Milk, Gluten, Soy",Fish Free,"Donut (Wheat Flour, Water, Vegetable Oil (Palm, Soybean (Antioxidant (307)), Dextrose, Yeast, Salt, Emulsifiers (471, 481, 472e) (Palm), Soy Flour, Raising Agents (541, 500), Milk Solids), Chocolate Ganache (22%) (Compound Chocolate (Sugar, Vegetable Fat (Palm), Milk Solids, Emulsifier (322 from Soy), Salt, Natural Vanilla Flavour), Thickened Cream (Cream (Milk), Beef Gelatine), Canola Oil, Water, Cocoa Powder, Natural Chocolate Flavour, Natural Colours (161b, 120), Emulsifier (433), Acidity Regulator (330), Preservative (202))"
Woolworths Lightly Fruited Cake,Woolworths Lightly Fruited Cake 700g,688779,9339687045815,https://cdn0.woolworths.media/content/wowproductimages/medium/688779.jpg,100G,4.3,0.61,$0.61 / 100G,TRUE,700G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,FRUIT CAKES,bakery,baked snacks & sweets,,False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Milk, Sulphites, Gluten",No Artificial Colours or Flavours,"Wheat Flour, Sugar, Mixed Fruits (20%) (Sultanas, Glace Cherries (Acidity Regulator (330), Preservatives (202, 220), Natural Colours (120)), Glace Citrus Peel (Food Acid (330), Preservative (223, 202))), Water, Vegetable Oils (Canola, Palm), Humectants (422, 420), Egg Powder, Milk Solids, Wheat Starch, Emulsifiers (471, 475, 481) (Soy, Palm), Salt, Raising Agents (450, 500, 341), Preservative (202), Thickener (415), This product contains 20% Fruit"
Woolworths Jam Filled Lamingtons,Woolworths Jam Filled Lamingtons 6 Pack,131482,9339687220717,https://cdn0.woolworths.media/content/wowproductimages/medium/131482.jpg,100G,3.4,0.97,$0.97 / 100G,TRUE,6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,LAMINGTONS,bakery,baked snacks & sweets,"Sponge cake with a layer of jam, rolled in choc coating & coconut",False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Sulphites, Gluten",No Artificial Colours or Flavours,"Cake (54%) (Sugar, Wheat Flour, Water, Egg Powder, Cake Improvers (Humectants (420, 1520), Emulsifiers (471 from Soy, 475, 481), Raising Agents (450, 500, 341, Starches), Wheat Starch, Salt, Preservatives (202, 200)), Choc Coating (25%) (Sugar, Water, Cocoa Powder, Canola Oil, Thickeners (1422, 406), Natural Flavouring, Acidity Regulator (575), Preservative (202)), Jam Filling (15%) (Sugar, Apple, Gelling Agent (440), Acidity Regulator (330), Natural Colour (163), Natural Flavouring, Preservative (202)), Coconut (6%) (Coconut, Preservative (223))"
Woolworths Apple & Cinnamon Muffins,Woolworths Apple & Cinnamon Muffins 4 Pack,883117,9300633522117,https://cdn0.woolworths.media/content/wowproductimages/medium/883117.jpg,100G,4.7,1.12,$1.12 / 100G,TRUE,4 Pack,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,MUFFINS,bakery,baked snacks & sweets,<p>- No Artificial Colours or Flavours.</p>,False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Milk, Sulphites, Gluten",No Artificial Colours or Flavours,"Diced Apple (18%), Preservatives (223, 202), Sugar, Wheat Flour, Wholemeal Wheat Flour (Vitamins (Thiamin, Folate)), Canola Oil, Water, Dextrose, Egg Powder, Rolled Oats, Milk Solids, Raising Agents (450, 500), Thickeners (1422 (Preservative (220)), 415), Salt, Preservative (202), Cinnamon (0.1%), Cassia, Natural Vanilla Flavour"
Woolworths Banana Muffin Bars,Woolworths Banana Muffin Bars 10 Pack,86821,9339687165353,https://cdn0.woolworths.media/content/wowproductimages/medium/086821.jpg,100G,5.25,1.31,$1.31 / 100G,TRUE,10 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,CAKES TO GO/LUNCH BOX,bakery,baked snacks & sweets,,False,,"Egg, Gluten, Milk, Soy, Sulphites",Fish Free,"Wheat Flour, Sugar, Canola Oil, Water, Egg, Banana Puree and Banana Pieces (10%) (Bananas, Ascorbic Acid), Maize Starch, Raising Agents (541, 500), Thickener (1422), Skim Milk Powder, Invert Sugar, Humectant (420), Glucose Syrup, Salt, Acidity Regulators (575, 330), Emulsifiers (475, 433), Preservative (202), Vegetable Gums (412, 415 Soy), Natural Flavour, Enzyme, Natural Banana Flavour."
Woolworths Double Choc Muffin Bars,Woolworths Double Choc Muffin Bars 10 Pack,86820,9339687165346,https://cdn0.woolworths.media/content/wowproductimages/medium/086820.jpg,100G,5.25,1.31,$1.31 / 100G,TRUE,10 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,CAKES TO GO/LUNCH BOX,bakery,baked snacks & sweets,,False,,"Egg, Gluten, Milk, Soy, Sulphites",Fish Free,"Wheat Flour, Sugar, Canola Oil, Water, Egg, Dark Compound Chocolate Chips (6%) (Sugar, Vegetable Fat (492), Cocoa Powder, Milk Solids, Soy Lecithin, Natural Flavour), Invert Sugar, Dark Cocoa Powder (3.9%), Maize Starch, Glucose Syrup (Preservative (223)), Humectant (420), Raising Agents (541, 500), Thickener (1422), Non Fat Milk Solids, Emulsifiers (475, 433), Acidity Regulators (575, Citric Acid), Preservative (202), Guar Gum,  Xanthan Gum (Soy), Natural Flavour, Salt, Enzyme."
Woolworths Mud Cake White,Woolworths Mud Cake White 600g,186852,9300633638078,https://cdn0.woolworths.media/content/wowproductimages/medium/186852.jpg,100G,6.4,1.07,$1.07 / 100G,TRUE,600G,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,MUDCAKES,bakery,baked snacks & sweets,<p></p>,False,"Free From Artificial ColourFree From Artificial Flavour",,Fish Free,"Cake (Wheat Flour, Sugar, Canola Oil, Thickener (1422), Egg Powder, Raising Agent (500, 541, 341), Salt, Natural Flavour, Preservative (202)), Water, White Chocolate Ganache (11%) (White Compound Chocolate (Emulsifier (322 from Soy, 492), Sugar, Vegetable Oil (Canola, Palm), Milk Solids, Natural Flavour), Canola Oil, Thickened Cream (from Milk), Dark Chocolate Compound (9%) (from Milk, Soy), Egg Replacer (Milk Solids, Mineral Salt (452, 500), Wheat Starch, Vegetable Gum (412), Acidity Regulator (330, Salt))"
Woolworths Party Pack Mud Cake Slices,Woolworths Party Pack Mud Cake Slices 24 Pack,118172,9339687211609,https://cdn0.woolworths.media/content/wowproductimages/medium/118172.jpg,100G,13,1.3,$1.30 / 100G,TRUE,24 Pack,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,BULK PACKS,bakery,baked snacks & sweets,"<p>24 pre-cut slices of milk chocolate and white chocolate mud cake coated in chocolate icing, topped with colourful choc pieces and sprinkles. Sink into a chocolate lover's dream with these pre-cut slices of chocolate & white chocolate mud cake. Coated in a rich chocolate icing, dressed with colourful choc pieces & sprinkles, it's the perfect duo to delight at any party, picnic or gathering!</p>",False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Milk, Gluten",Fish Free,"Sugar, Wheat Flour, Vegetable Oil, Canola Oil, Milk Solids, Cocoa Powder, Dried Egg, Salt, Raising Agents (Sodium Carbonates, 541), Cocoa Solids, Thickener (1422), Natural Flavours, Preservative (Potassium Sorbate), Dried Cream, Egg White, Anti Caking Agent (341), Maize Starch, Natural Colours (Curcumin, Beet Red, Carotene, Paprika Oleoresins, Anthocyanins, Calcium Carbonate), Colour (Carmine), Gardenia Extract, Emulsifiers (Soy Lecithin, 492), Tapioca Starch, Glazing Agents (Carnauba Wax, Shellac, Acacia Gum)."
Woolworths Mini Mighty Cheese Pinwheel,Woolworths Mini Mighty Cheese Pinwheel 8 Pack,512256,0286674000007,https://cdn0.woolworths.media/content/wowproductimages/medium/512256.jpg,1EA,4,0.5,$0.50 / 1EA,TRUE,8 Pack,BAKEHOUSE,INSTORE BAKERY,INSTORE MANUF CAKE/PASTRY,CROISSANT,bakery,in-store bakery,<p></p>,False,,"Egg, Gluten, Milk, Soybeans",Fish Free,"<p>Wheat Flour, Butter(Cream(Milk)),Water, Yeast Extract Concentrate(5%)(Yeast Extract(Wheat, Barley),Salt ,Mineral Salt(508),Malt extract(Barley),Colour(150 c),Natural Flavours, Niacin, Thiamine, riboflavin, Folate)),Egg, Cheddar Cheese(2.5%)(Milk), Parmesan Cheese(2.5%)(Milk),Sugar, Wheat Gluten, Yeast, Breadc rumb(contains Wheat, Oats, Rye, Soy),Thickeners(1422, 1442,464),Salt, Natural Colour(160a),Egg Powder. <span id=""selectionBoundary_1687503840155_6916770050046033"" class=""rangySelectionBoundary"">?</span></p>"
Woolworths Lemon Madeira Cake,Woolworths Lemon Madeira Cake 315g,921694,9300633594176,https://cdn0.woolworths.media/content/wowproductimages/medium/921694.jpg,100G,3.3,1.05,$1.05 / 100G,TRUE,315G,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,LOAF CAKE,bakery,baked snacks & sweets,Woolworths Select Lemon Iced Madeira Cake a lightly citrus flavoured cake with a zingy lemon icing. It contains no artificial colours or flavours.,False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Milk, Gluten",Fish Free,"Cake (80%) (Sugar, Wheat Flour, Water, Canola Oil, Egg Powder, Milk Solids, Glucose Syrup, Butter (Milk), Improver (Humectant (420), Vegetable Emulsifiers (471 from Soy, 475, 481), Salt, Baking Powder (Raising Agents (341, 450, 500)), Preservative (200), Natural Orange Flavour, Natural Colours (160b, 164), Vegetable Gum (415)), Lemon Icing (20%) (Sugar (contains Tapioca Starch), Butter (Milk), Stabiliser (Mineral Salts (170, 516), Sugar, Vegetable Gum (401), Dextrose, Maize Starch, Water, Humectant (422), Natural Lemon Flavour, Acidity Regulator (330), Preservative (200), Antioxidant (307), Natural Colour (160b))"
Woolworths Caramel Bar Slice,Woolworths Caramel Bar Slice 260g,61194,9339687133130,https://cdn0.woolworths.media/content/wowproductimages/medium/061194.jpg,100G,7.5,2.88,$2.88 / 100G,TRUE,260G,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,SPECIAL OCCASION,bakery,baked snacks & sweets,,False,Free From Artificial Colour,"Egg, Soy, Milk, Gluten",Fish Free,"Caramel (49%) (Sugar, Milk, Cream (Milk), Water, Salt), Biscuit Base (Wheat Flour, Sugar, Butter (Cream (Milk), Salt), Egg, Raising Agents (450, 500), Anti Caking Agent (170), Natural Vanilla Flavour), Dark Compound Chocolate (20%) (Sugar, Vegetable Oil (Palm), Cocoa Powder, Milk Solids, Vegetable Emulsifiers (322 from Soy, 492), Natural Flavour)"
Lawson's Settlers Grain Traditional Bread,Lawson's Settlers Grain Traditional Bread 750g,802845,9310023143952,https://cdn0.woolworths.media/content/wowproductimages/medium/802845.jpg,100G,5.8,0.77,$0.77 / 100G,TRUE,750G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,SEEDS AND GRAINS LOAF,bakery,grain & rye bread,"Lawson's Settler's Grain Extra Thick Sliced Bread is a simple yet tasty traditional bread. Enjoy fresh or toasted, sweet or savoury, however you like your bread. Baked in the spirit and traditions of country Australia, Lawson's Grain Bread is a testament to its home. In the country towns of Australia, bread was served straight from the oven with hearty soup on cold days and spread with homemade jam on warmer days. This product contains no artificial preservatives or colours, no animal fats, is a good source of fibre and a good source of protein. Lawson's Traditional Settler's Grain Extra Thick Sliced Bread is a simple yet tasty traditional bread which is a good source of protein and fibre.",False,"No Preservatives, No Artificial Colours, Source of Protein","Gluten Containing Cereals, Soy, Gluten",Egg Free,"Wheat Flour, Water, Whole Grains (25%) (Kibbled Purple Wheat, Barley, Wheat Flakes), Yeast, Wheat Gluten, Vinegar, Iodised Salt, Canola Oil, Cultured Wheat Flour, Vegetable Emulsifier (481), Soy Flour, Vitamins (Thiamin, Folic Acid)."
Woolworths Madeira Cake,Woolworths Madeira Cake 450g,921693,9300633594169,https://cdn0.woolworths.media/content/wowproductimages/medium/921693.jpg,100G,3.3,0.73,$0.73 / 100G,TRUE,450G,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,LOAF CAKE,bakery,baked snacks & sweets,<p>Best served with friends.</p>,False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Milk, Gluten",Fish Free,"Sugar, Wheat Flour, Water, Canola Oil, Egg Powder, Milk Solids, Glucose Syrup, Butter (Milk), Improver (Humectant (420), Vegetable Emulsifiers (471 from Soy, 475, 481), Salt, Baking Powder (Raising Agents (450, 500, 341)), Preservative (200), Natural Orange Flavour, Natural Colours (160b, 164), Vegetable Gum (415)"
Menissez Bake At Home White Baguettes,Menissez Bake At Home White Baguettes 2 Pack,573300,9300633634414,https://cdn0.woolworths.media/content/wowproductimages/medium/573300.jpg,1EA,2.4,1.2,$1.20 / 1EA,TRUE,2 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKE AT HOME,DINNER,bakery,sourdough & specialty bread,,False,,Wheat,Egg Free,"Wheat Flour, Water, Yeast, Iodised Salt, Fermented Wheat Flour, Malted Wheat Flour, Antioxidant: Ascorbic Acid, Broad Bean Flour, Deactivated Yeast"
Toscano Double Choc Mousse Twin,Toscano Double Choc Mousse Twin 60g X2 Pack,678120,9350007001571,https://cdn0.woolworths.media/content/wowproductimages/medium/678120.jpg,100G,6,5,$5.00 / 100G,TRUE,60G x2 Pack,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,DESSERTS,bakery,baked snacks & sweets,"Toscano Double Choc contains dark chocolate sauce, Belgian chocolate mousse and thick Italian cream. <br> <p>Double Choc, what we eat after the party. Four indulgent layers, one heavily rich dark-chocolate sauce, a Belgian chocolate mousse whipped enough to eat with a butter knife, a traditional Italian cream, and a final scattering of Dutch dark chocolate flakes.</p><p>No artificial colour or flavours.</p><p>No preservatives.</p>",False,,,No Artificial Preservatives,"Water, Glucose Syrup, Coconut Oil, Glucose Powder, Sugar, Cream (3%) (From Milk), Dutch Dark Chocolate Curls (3%) (Emulsifier (Soy Lecithin), Natural Flavouring), Milk Protein Powder, Milk Powder, Belgian Cocoa Powder, Egg Yolk, Alcohol (1.3%), Belgian Milk Chocolate (0.8%) (Milk Powder, Emulsifier (Soy Lecithin), Natural Flavouring), Gelatine, Emulsifier (471), Egg White Powder, Thickeners (407, 406, 415), Lemon Fibre, Natural Flavouring."
Wonder Gluten Free Wholemeal Bread,Wonder Gluten Free Wholemeal Bread 500g,237031,9310023145697,https://cdn0.woolworths.media/content/wowproductimages/medium/237031.jpg,100G,7,1.4,$1.40 / 100G,TRUE,500g,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,DIETARY NEEDS,bakery,white & wholemeal bread,"Wonder Full of Goodness Gluten Free Soft Wholemeal + vitamins & minerals. Very high in fibre and dairy free. Contains no artificial colours, flavours or preservatives. Soft Wholemeal + Vitamins & Minerals<br >Gluten free and full of goodness to fuel their play.<br ><br >These soft, large slices are full of fibre plus vitamins & minerals.<br ><br >Play on<br ><br >Niacin B3<br >Critical for energy release from food.<br ><br >Vitamin E<br >Helps kid's growth & development.<br ><br >Vitamin B6<br >Critical for your body to use protein & iron.<br ><br >Thiamin B1<br >Helps produce energy.<br ><br >Iron<br >Helps reduce tiredness & fatigue.<br ><br >Zinc<br >Necessary for a healthy immune system.<br ><br >- Very high in fibre<br >- No artificial colours, flavours or preservatives<br >- Contains whole grain (1 serve (2 slices) of Wonder Gluten Free Wholemeal contributes 29% towards the Grains & Legumes Nutritional Council 32-40g whole grain Daily Target Intake for children 4-8 years.)<br ><br >1 serve (2 slices) provides 25% of the daily fibre, iron & vitamin E needs for kids aged 4-8 (1 serve (2 slices). According to the Nutrient Reference Values for Australia and New Zealand for kids aged 4-8 (NHMRC 2006). Accessed Apr 2022 https:www.nrv.gov.aunutrients) Gluten free - Endorsed by Coeliac Australia. Very high in fibre. Dairy free. No artificial colours, flavours or preservatives. Contains whole grain.",False,;Free From Artificial Flavour;High Fibre;Free From Dairy;,"Egg, Soy",Wheat Free,"Water, Modified Tapioca Starch (1413, 1442), Wholemeal Rice Flour (14%), Rice Flour, Maize Starch, Potato Starch, Canola Oil, Sugar, Psyllium Flour, Thickeners (412, 464, 466), Egg White Powder, Soy Flour, Yeast, Vinegar, Cultured Dextrose, Iodised Salt, Vitamins (Vitamin E, Niacin, Thiamin, Vitamin B6), Minerals (Iron, Zinc)."
Woolworths Soft & Glazed Milk Buns,Woolworths Soft & Glazed Milk Buns 4 Pack,140173,9339687227389,https://cdn0.woolworths.media/content/wowproductimages/medium/140173.jpg,1EA,5.5,1.38,$1.38 / 1EA,TRUE,4 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,WHITE ROLLS,bakery,"rolls, wraps & flatbreads",,False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Milk, Gluten",Fish Free,"Wheat Flour (Thiamine, Folic Acid), Water, Sugar, Milk Powder (2.5%), Egg, Margarine (Water, Vegetable Oils and Fats, Sugar, Emulsifiers (471, 476), Preservative (202), Acidity Regulator (330), Antioxidant (307)), Yeast, Cultured Wheat, Vegetable Oil, Salt, Bread Improver (Soy Flour, Mineral Salt (170), Flour Treatment Agents (516, 300, 920), Emulsifiers (481, 472e), Wheat Malt Flour, Enzyme), Vinegar, Bread Softener (Wheat Flour, Mineral Salt (170), Emulsifier (471), Soy Flour, Enzyme)"
Noshu 95% Sugar Free Iced Carrot Cake 4 Slices,Noshu 95% Sugar Free Iced Carrot Cake 4 Slices 180g,164942,9351777001341,https://cdn0.woolworths.media/content/wowproductimages/medium/164942.jpg,100G,7,3.89,$3.89 / 100G,TRUE,180g,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,CAKES TO GO/LUNCH BOX,bakery,baked snacks & sweets,"Noshu's 95% Sugar Free Iced Carrot Cakes are delicious, ready-to-eat treats that are perfectly portioned into 4 pieces for exciting school lunchboxes, kids snacking or grown-up treats. Plus, these great little treats are a lower carb option and made with no artificial colours or flavours.",False,"Reduced Less Calorie, Free From Artificial Colour, Free From Artificial Flavour, Free From Artificial Sweeteners","Tree Nuts, Egg, Soy, Milk, Gluten",Fish Free,"Water, Flour Blend (Australian Wheat Flour (Gluten), Resistant Starch, Thickener (1442), Corn Flour), Butter Blend (Sunflower Oil, Vegetable Oil, Water, Butter, Salt, Buttermilk Powder, Soy Lecithin), Natural Sweeteners (Non-GMO Erythritol, Xylitol, Steviol Glycosides (Stevia Leaf Extract), Monk Fruit Extract), Carrot (11%), Egg, Isomalto-Oligosaccharides (Soluble Fibre), Polydextrose, Vegetable Glycerine, Milk, Walnuts (3%), Cream Cheese Powder (2%), Sultanas, Raising Agents (500, 575), Coconut, Natural Flavours, Natural Colour (Apple Extract), Spices, Salt."
Bfree Pita Pockets,Bfree Pita Pockets 6 Pack,57631,5391521691002,https://cdn0.woolworths.media/content/wowproductimages/medium/057631.jpg,100G,7,3.65,$3.65 / 100G,TRUE,6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,DIETARY NEEDS,bakery,"rolls, wraps & flatbreads","BFree Pita Pockets are baked in an authentic stone fired oven, gluten free, vegan friendly and a good source of fibre, they are perfect for lunches and snacks anytime! Live free!<br><br>",False,;Source Of Dietary Fibre;,,Gluten Free,"Water, White Rice Flour, Corn Starch, Potato Starch, Tapioca Starch, Thickening Agents (Hydroxypropyl Methylcellulose, Xanthan Gum, Carboxy Methylcellulose, Guar Gum,)  Bamboo Fibre, Buckwheat Flour, Humectant (Glycerol), Inulin, Psyllium Husk, Pea Protein, Pea Fibre, Potato Fibre, Corn Flour, Apple Juice Concentrate, Yeast, Canola Oil, Sourdough (Fermented Corn and Quinoa Flour), Iodised Salt, Preservatives (Sorbic Acid, Citric Acid, Malic Acid), Acidifier (Glucono-Delta-Lactone), Antioxidant (Tartaric Acid)."
Woolworths Sliced Carrot Sultana & Walnut Loaf,Woolworths Sliced Carrot Sultana & Walnut Loaf 500g,653793,9300633693527,https://cdn0.woolworths.media/content/wowproductimages/medium/653793.jpg,100G,6.5,1.3,$1.30 / 100G,TRUE,500G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,CAKES TO GO/LUNCH BOX,bakery,baked snacks & sweets,,False,Free from artificial flavour. Free from artificial colour,"Milk, Soy, Sulphites and Other Tree Nuts",No Artificial Colours or Flavours,100g
Toscano Sourdough Pizza Base,Toscano Sourdough Pizza Base 2 Pack,243014,9300602375225,https://cdn0.woolworths.media/content/wowproductimages/medium/243014.jpg,100G,7.5,1.79,$1.79 / 100G,TRUE,2 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,PIZZA/BASES,bakery,"rolls, wraps & flatbreads",,False,"Vegetarian, Vegan, Good Source Of Fibre, Good Source Of Protein.","Wheat, Gluten",Fish Free,"Wheat Flour, Water, Sunflower Oil, Salt, Yeast, Malted Wheat Flour, Dextrose, Emulsifier (471), Preservatives (200, 282)"
Woolworths Sesame Bagels,Woolworths Sesame Bagels 4 Pack,221763,9339687304523,https://cdn0.woolworths.media/content/wowproductimages/medium/221763.jpg,100G,2.5,0.63,$0.63 / 100G,TRUE,4 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,BAGELS,bakery,baked snacks & sweets,,False,,,,
