Product Name,Display Name,Stockcode,Barcode,Medium Image File,Cup Measure,Price,Cup Price,Cup String,Has Cup Price,Package Size,Sap Department Name,Sap Category Name,Sap Sub Category Name,Sap Segment Name,Department,Aisle,Description,Vegetarian,Wool Dietary Claim,Allergen Contains,Allergy Statement,Ingredients
Mighty Soft Raisin Toast,Mighty Soft Raisin Toast 600g,236288,9310023135988,https://cdn0.woolworths.media/content/wowproductimages/medium/236288.jpg,100G,3.25,0.54,$0.54 / 100G,TRUE,600G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,FRUIT LOAF/SCONE,bakery,baked snacks & sweets,"Mighty Soft Raisin Toast Loaf is the ultimate breakfast when you're craving something sweet. This tasty loaf contains 25% real fruit and is made with no artificial preservatives.<BR><BR>Mighty Soft Raisin Toast is crafted from at least 70% Australian ingredients and is made with love. This tasty loaf has no artificial colours or flavours, and you can enjoy it for breakfast, lunch or even snack time.<BR><BR>• Raisin toast<BR><BR>• Made with love<BR><BR>• Contains 25% real fruit<BR><BR>• No artificial colours, flavours or preservatives<BR><BR>• Enjoy fresh or toasted with butter",False,"No Artificial Colours, No Preservatives, No Artificial Flavours","Gluten Containing Cereals, Soy",Dairy Free,"Wheat Flour, Water, Fruit^(25%) (Raisins and/or Sultanas), Yeast, Sugar, Wheat Gluten, Vegetable Oil, Iodised Salt, Cinnamon (0.5%), Mixed Spice, Vinegar, Vegetable Emulsifiers (322 from Soy, 471, 481, 472e), Soy Flour, Vitamins (Thiamin, Folic Acid)."
Woolworths Bread Rolls Crusty Lunch,Woolworths Bread Rolls Crusty Lunch 6 Pack,33908,0280017000006,https://cdn0.woolworths.media/content/wowproductimages/medium/033908.jpg,1EA,2.5,0.42,$0.42 / 1EA,TRUE,6 Pack,BAKEHOUSE,INSTORE BAKERY,ISB BREAD ROLL,BREAD CRUSTY WHITE ROLLS,bakery,in-store bakery,<p></p>,False,,,Fish Free,"Ingredients: Wheat Flour, Water, Yeast, Wheat Gluten, Vegetable Oils (Palm, Canola), Iodised Salt, Yellow Pea Flour, Vitamins (Thiamin, Folate). Topping Options: Plain or Sesame Seeds or Poppy Seeds."
Mountain Bread Natural Light Wraps,Mountain Bread Natural Light Wraps 8 Pack,118406,789673000080,https://cdn0.woolworths.media/content/wowproductimages/medium/118406.jpg,100G,4.5,2.25,$2.25 / 100G,TRUE,8 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,WRAPS,bakery,"rolls, wraps & flatbreads","72 Calories & 13.9g of Carb per wrap
Based on Australian Serving Size",False,"Free from yeast, No Added Dairy, Egg free","Wheat, Gluten",Lactose Free,"Organic Wholemeal Flour (70%), Organic Wheat Flour, Filtered Water, Sea Salt"
Tip Top English Muffins Original,Tip Top English Muffins Original 6 Pack,46795,9339423003253,https://cdn0.woolworths.media/content/wowproductimages/medium/046795.jpg,1EA,4,0.67,$0.67 / 1EA,TRUE,6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,ENGLISH MUFFINS,bakery,baked snacks & sweets,<p>Tip Top English Muffins Original 6 Pack<BR><BR>Tip Top is all about homegrown goodness That's why we bake every day with Aussie wheat We partner with Foodbank to share goodness with the community And we use more sustainable packaging wherever we can so Australia stays beautiful for generations to come<BR><BR>97 Fat Free<BR><BR>Source of Fibre<BR><BR>Made with Aussie Wheat<BR><BR>No artificial Colours Flavours or Preservatives</p>,False,"High in Fibre, Low in Saturated Fat, Source of Dietary Fibre","Cereals, Gluten, Soy",No Artificial Colours or Flavours,"Wheat Flour, Water, Baker's Yeast, Maize Polenta, Wheat Gluten, Vinegar, Canola Oil, Iodised Salt, Oat Fibre, Soy Flour, Acidity Regulators (341, 263, 262), Emulsifiers (481, 472e, 471), Preservatives (202, 200), Sugar, Vitamins (Thiamin, Folate)."
Tip Top 9 Grain Original Low Gi Sandwich Slice Bread Loaf,Tip Top 9 Grain Original Low Gi Sandwich Slice Bread Loaf 700g,197276,9310043009900,https://cdn0.woolworths.media/content/wowproductimages/medium/197276.jpg,100G,4.4,0.63,$0.63 / 100G,TRUE,700g,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,SEEDS AND GRAINS LOAF,bakery,grain & rye bread,"Tip Top 9 Grain Original Bread 700g<br><br><p><br>Tip Top® is all about home-grown goodness. That's why we bake every day with Aussie wheat. We partner with Foodbank to share goodness with the community. And we use more sustainable packaging wherever we can so Australia stays beautiful for generations to come.<p><br>Benefits:<br><ul><li>Low GI for sustained energy<li><li>High in Fibre<li><li>No artificial Colours, Flavours or Preservatives<li><li>No added Sugar<li><li>20% of your Daily Target of Whole Grains (Two slices of Tip Top 9 Grain contributes 20% of the 48g Whole Grain Daily Target Intake)<li><li>Source of Protein<li><li>Low in saturated Fat<li><ul><br><br>High in Fibre<br><br>Low GI<br><br>Suitable for Vegans and Vegetarians",False,SOURCE OF PROTEIN;No Added Sugars;No Added Artificial Colour;No Added Artificial Flavour;Low Saturated Fat;High Fibre;,"Cereals, Gluten, Soy, Soy",Dairy Free,"Wheat Flour, Water, Mixed Whole Grains (14%) (Kibbled Rye, Kibbled Wheat, Hulled Buckwheat, Kibbled Corn, Kibbled Purple Wheat, Millet, Triticale, Kibbled Barley Rolled Oats), Seeds (Linseed, Sunflower Seeds), Baker's Yeast, Wheat Gluten, Kibbled Soy, Vinegar, Iodised Salt, Canola Oil, Soy Flour, Emulsifiers (472e, 481, 471), Vitamins (Thiamin, Folic Acid), Wheat Malt Flour."
Mighty Soft Bread Rolls Hot Dog,Mighty Soft Bread Rolls Hot Dog 6 Pack,26162,9310023133540,https://cdn0.woolworths.media/content/wowproductimages/medium/026162.jpg,1EA,3.7,0.62,$0.62 / 1EA,TRUE,6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,WHITE ROLLS,bakery,"rolls, wraps & flatbreads","Make the ultimate hot dog with Mighty Soft Hot Dog Rolls. Simply add a juicy frankfurt drizzled with ketchup and mayo, and enjoy.<br><br>Bring on the good times with Mighty Soft Hot Dog Rolls. Kids and adults alike will love these hot dog buns, made with no artificial preservatives. Simply add your favourite hot dog fillings and enjoy fresh or take on the go. There is six buns in a pack, great for taking to sporting events or family outings.<br><br>• Hot dog rolls<br><br>• Made with love<br><br>• No artificial preservatives<br><br>• Six in a pack, ideal for families<br><br>• Pack it to outings, school or work",False,;No Added Artificial Flavour;No Added Artificial Preservatives;No Added Artificial Colour;,"Gluten Containing Cereals, Soy, Wheat, Gluten",Fish Free,"Wheat flour, water, canola oil, wheat gluten, yeast, sugar, vinegar, iodised salt, vegetable emulsifiers (481, 471, 472e), soy flour, vitamins (thiamin, folic acid)."
Woolworths Bread Rolls Bacon & Cheese,Woolworths Bread Rolls Bacon & Cheese 6 Pack,298121,0281022000005,https://cdn0.woolworths.media/content/wowproductimages/medium/298121.jpg,1EA,6,1,$1.00 / 1EA,TRUE,6 Pack,BAKEHOUSE,INSTORE BAKERY,ISB SNACK BREAD,ROLL,bakery,in-store bakery,<p>Baked by us today.</p>,False,"No Artificial Colours, No Artificial Flavours",,Fish Free,"Ingredients: Wheat Flour, Water,Cheese (13%) (Cheese(69%)(Milk, Salt,Cultures,Rennet), Processed Cheese (Water, Palm Oil, Modified Potato Starch,Milk Protein, Salt,Natural Flavour,Natural Colour(160a)), Anticaking Agent(460), Preservative (200)), Bacon(13%)(Pork (58%), Water,Thickeners (1442,1414,1450,1412), Tapioca Starch, Rice Flour, Cure (Salt,Sugar,Acidity Regs (326,325, 262), Dextrose,Mineral Salts (451,450,452),Pork Protein, Potato Starch, Antioxidant(316,301),Veg Gum(407), Preservative (250)), Maltodextrin, Smoke Flavour, Flavouring, Colours (120,160c), Herbs And Spices, Garlic, Honey), Yeast, Veg Oil (Canola or Palm), Iodised Salt, Yellow Pea Flour, Vitamins (B1, B9)."
Woolworths Jumbo Tiger Rolls,Woolworths Jumbo Tiger Rolls 6 Pack,757540,0285069000004,https://cdn0.woolworths.media/content/wowproductimages/medium/757540.jpg,1EA,3,0.5,$0.50 / 1EA,TRUE,6 Pack,BAKEHOUSE,INSTORE BAKERY,ISB BREAD ROLL,BREAD CRUSTY WHITE ROLLS,bakery,"rolls, wraps & flatbreads",<p>Woolworths Tiger Rolls Jumbo.</p>,False,,Gluten,Dairy Free,"<p>Wheat Flour, Water, Rice Flour, Yeast, Wheat Gluten, Vegetable Oils (Palm, Canola), Iodised Salt, Yellow Pea Flour, Dextrose, Vitamins (Thiamin, Folate), Wheat Semolina.</p>"
Toscano Waffles Choc Chip,Toscano Waffles Choc Chip 360g,476143,9417986938875,https://cdn0.woolworths.media/content/wowproductimages/medium/476143.jpg,100G,7.5,2.08,$2.08 / 100G,TRUE,360G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,WAFFLES,bakery,baked snacks & sweets,Toscano Waffles Choc Chip are authentic sweet & crunchy choc chip Belgian Liege waffles.,False,,Egg,No Artificial Preservatives,"Wheat Flour, Sugar, Vegetable Oils, Belgian Chocolate Chips (9%) [Sugar, Cocoa Solids, Cocoa Butter, Emulsifier (Soy Lecithin), Flavouring), Water, Egg, Invert Sugar, Yeast, Soy Flour, Salt, Emulsifier (Soy Lecithin), Flavouring."
Toscano Mini Waffle,Toscano Mini Waffle 200g,693170,9350007001687,https://cdn0.woolworths.media/content/wowproductimages/medium/693170.jpg,100G,5.5,2.75,$2.75 / 100G,TRUE,200G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,WAFFLES,bakery,baked snacks & sweets,<p>Toscano Mini Waffles are authentic sweet & crunchy Belgian waffles.</p> <p>Your favourite Traditional Belgian Liege waffle in a mini size.</p><p>- Vegetarian.</p><p>- No preservatives.</p>,False,Free from preservatives,"Egg, Soy, Wheat",Fish Free,"Wheat Flour, Sugar, Vegetable Oils, Water, Egg, Invert Sugar, Yeast, Soy Flour, Salt, Emulsifier (Soy Lecithin), Flavouring."
